No,Tháng,Năm,Khách hàng C2,Khách Hàng C1,Tỉnh,Tên hoạt động,Số lượng,Nhóm Sản phẩm,Sản Phẩm,Cây Trồng,SL Nông Dân,Đầu tư,Triển khai
149,Nov,2018,STG-102,STG001,Sóc Trăng,E30,1.0,Fungicide,FY,Lúa,30,11225975.0,SE
150,Nov,2018,STG-042,STG001,Sóc Trăng,E30,1.0,Fungicide,FY,Lúa,30,11225975.0,SE
151,Nov,2018,STG-030,STG010,Sóc Trăng,E30,1.0,Fungicide,FY,Lúa,30,11225975.0,SE
152,Nov,2018,STG-007,STG001,Sóc Trăng,E30,1.0,Fungicide,FY,Lúa,30,11225975.0,SE
153,Nov,2018,STG-060,STG001,Sóc Trăng,E30,1.0,Fungicide,FY,Lúa,30,11225975.0,SE
154,Dec,2018,STG-083,STG010,Sóc Trăng,E60,1.0,Fungicide,FY,Lúa,60,22094150.0,SE
155,Nov,2018,LDG-061,LDG018,Lâm Đồng,Demo,2.0,Insecticide,DA,Rau màu,10,3184420.0000000005,ST
156,Nov,2018,LDG-001,LDG018,Lâm Đồng,Demo,2.0,Insecticide,DA,Rau màu,10,3184420.0000000005,ST
157,Nov,2018,LDG-013,LDG018,Lâm Đồng,Demo,2.0,Insecticide,DA,Rau màu,10,3184420.0000000005,ST
158,Nov,2018,LDG-096,LDG005,Lâm Đồng,Demo,2.0,Insecticide,DA,Rau màu,10,3184420.0000000005,ST
159,Nov,2018,LDG-183,LDG005,Lâm Đồng,Demo,2.0,Insecticide,DA,Rau màu,10,3184420.0000000005,ST
160,Nov,2018,LDG-001,LDG018,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
161,Nov,2018,LDG-013,LDG018,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
162,Nov,2018,LDG-096,LDG005,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
163,Nov,2018,LDG-183,LDG005,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
164,Nov,2018,LDG-061,LDG018,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
165,Feb,2018,LDG-148,LDG018,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
166,Feb,2018,LDG-169,LDG003,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
167,Feb,2018,LDG-199,LDG003,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
168,Feb,2018,LDG-140,LDG003,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
169,Mar,2018,LDG-097,LDG003,Lâm Đồng,FA,10.0,Insecticide,DA,Rau màu,10,894500.0000000001,ST
170,Nov,2018,STG-027,STG001,Sóc Trăng,E30,1.0,Fungicide,FY,Lúa,30,11225975.0,SE
171,Dec,2018,STG-065,STG001,Sóc Trăng,E60,1.0,Fungicide,FY,Lúa,60,22094150.0,SE
172,Nov,2018,STG-112,STG001,Sóc Trăng,E60,1.0,Fungicide,FY,Lúa,60,22094150.0,SE
173,Nov,2018,BTN-059,BTN002,Bình Thuận,FA,5.0,Fungicide,FY,Lúa,5,447250.00000000006,ST
174,Nov,2018,BTN-002,BTN002,Bình Thuận,FA,5.0,Fungicide,FY,Lúa,5,447250.00000000006,ST
175,Nov,2018,BTN-003,BTN002,Bình Thuận,FA,5.0,Fungicide,FY,Lúa,5,447250.00000000006,ST
176,Nov,2018,BTN-030,BTN002,Bình Thuận,FA,5.0,Fungicide,HO,Rau màu,5,447250.00000000006,ST
177,Nov,2018,BTN-027,BTN008,Bình Thuận,FA,5.0,Fungicide,HO,Rau màu,5,447250.00000000006,ST
178,Nov,2018,BTN-041,BTN011,Bình Thuận,FA,5.0,Fungicide,FY,Thanh Long,5,447250.00000000006,ST
179,Nov,2018,KGG-149,BTN011,Bình Thuận,FA,5.0,Fungicide,FY,Thanh Long,5,447250.00000000006,ST
180,Nov,2018,BTN-040,BTN008,Bình Thuận,FA,5.0,Fungicide,FY,Lúa,5,447250.00000000006,ST
181,Dec,2018,KHA-004,KHA004,Khánh Hoà,FA,5.0,Herbicide & Molluscicide,FI,Lúa,5,447250.00000000006,ST
182,Dec,2018,KHA-012,KHA004,Khánh Hoà,FA,5.0,Fungicide,FY,Lúa,5,447250.00000000006,ST
183,Dec,2018,NTN-025,NTN002,Ninh Thuận,FA,5.0,Herbicide & Molluscicide,FI,Lúa,5,447250.00000000006,ST
184,Dec,2018,NTN-001,NTN002,Ninh Thuận,FA,5.0,Fungicide,FY,Lúa,5,447250.00000000006,ST
185,Nov,2018,DTP-075,DTP015,Đồng Tháp,E60,1.0,Fungicide,FY,Lúa,60,22094150.0,ST
186,Dec,2018,PYN-008,PYN004,Phú Yên,E30,1.0,Herbicide & Molluscicide,FAX,Lúa,30,11225975.0,SE
187,Dec,2018,PYN-010,PYN004,Phú Yên,E30,1.0,Herbicide & Molluscicide,FAX,Lúa,30,11225975.0,SE
188,Dec,2018,PYN-004,PYN004,Phú Yên,E30,1.0,Herbicide & Molluscicide,FAX,Lúa,30,11225975.0,SE
189,Dec,2018,PYN-002,PYN004,Phú Yên,E30,1.0,Herbicide & Molluscicide,FAX,Lúa,30,11225975.0,SE
190,Dec,2018,LDG-131,GLI002,Gia Lai,E60,1.0,Fungicide,HO,Cà chua,60,22094150.0,SE
191,Dec,2018,GLI-096,GLI002,Gia Lai,E60,1.0,Fungicide,HO,Cà chua,60,22094150.0,SE
192,Nov,2018,KHA-009,KHA004,Khánh Hoà,E60,1.0,Herbicide & Molluscicide,PAN,Lúa,60,22094150.0,SE
193,Dec,2018,CTO-094,CTO018,Cần Thơ,FA,10.0,Fungicide,UQE,Lúa,10,894500.0000000001,ST
194,Dec,2018,CTO-088,CTO018,Cần Thơ,FA,10.0,Fungicide,UQE,Lúa,10,894500.0000000001,ST
195,Dec,2018,CTO-048,CTO018,Cần Thơ,FA,9.0,Fungicide,UQE,Sầu Riêng,9,805050.0000000001,ST
196,Dec,2018,CTO-064,CTO018,Cần Thơ,FA,9.0,Fungicide,UQE,Lúa,9,805050.0000000001,ST
197,Dec,2018,CTO-035,CTO018,Cần Thơ,FA,12.0,Insecticide,JO,Dưa hấu,12,1073400.0,ST
198,Dec,2018,CTO-058,CTO003,Cần Thơ,FA,15.0,Fungicide,MAL,Mận,15,1341750.0,ST
